rowname,geometry,selected
2258,"c(15.55314, 47.72952)",TRUE
1851,"c(15.625, 47.275)",TRUE
31,"c(15.625, 47.725)",TRUE
1826,"c(15.625, 47.325)",TRUE
1962,"c(15.625, 47.625)",TRUE
1963,"c(15.625, 47.625)",TRUE
1852,"c(15.625, 47.275)",TRUE
36363,"c(14.33, 47.65)",TRUE
298,"c(14.54167, 47.675)",TRUE
969,"c(14.54167, 47.675)",TRUE
970,"c(14.54167, 47.675)",TRUE
979,"c(14.54167, 47.675)",TRUE
263,"c(14.54167, 47.675)",TRUE
985,"c(14.54167, 47.675)",TRUE
1075,"c(14.54167, 47.825)",TRUE
286,"c(14.54167, 47.675)",TRUE
1083,"c(14.54167, 47.825)",TRUE
980,"c(14.54167, 47.675)",TRUE
313,"c(14.54167, 47.675)",TRUE
992,"c(14.54167, 47.675)",FALSE
314,"c(14.54167, 47.675)",TRUE
2352,"c(13.98625, 47.53062)",FALSE
2351,"c(13.98017, 47.49716)",TRUE
2343,"c(14.05266, 47.52863)",TRUE
2342,"c(14.05753, 47.52545)",TRUE
2353,"c(13.97357, 47.52391)",TRUE
1220,"c(13.92981, 47.48409)",TRUE
193,"c(13.92981, 47.48409)",FALSE
1793,"c(14.29167, 47.775)",TRUE
1795,"c(14.29167, 47.825)",TRUE
1796,"c(14.29167, 47.775)",TRUE
1522,"c(14.78383, 46.51244)",FALSE
1697,"c(14.78383, 46.51244)",TRUE
1232,"c(14.85376, 47.74673)",TRUE
1231,"c(14.70673, 46.51163)",TRUE
2589,"c(14.70083, 47.56056)",TRUE
2596,"c(14.70141, 47.54367)",TRUE
978,"c(14.70833, 47.625)",FALSE
896,"c(14.95833, 47.875)",TRUE
1701,"c(14.85376, 47.74673)",FALSE
987,"c(14.625, 47.675)",TRUE
986,"c(14.625, 47.675)",TRUE
995,"c(14.625, 47.675)",TRUE
991,"c(14.625, 47.675)",TRUE
972,"c(14.625, 47.625)",TRUE
322,"c(14.625, 47.625)",TRUE
1080,"c(14.625, 47.825)",TRUE
1000,"c(14.625, 47.625)",TRUE
2559,"c(14.64141, 47.58412)",TRUE
290,"c(14.64141, 47.58412)",FALSE
998,"c(14.625, 47.625)",TRUE
981,"c(14.625, 47.525)",TRUE
2563,"c(14.5521, 47.57155)",FALSE
295,"c(14.5521, 47.57155)",FALSE
2564,"c(14.55372, 47.56097)",FALSE
2560,"c(14.55834, 47.56197)",FALSE
285,"c(14.55834, 47.56197)",TRUE
982,"c(14.54167, 47.675)",FALSE
976,"c(14.54167, 47.675)",TRUE
1027,"c(14.54167, 47.675)",TRUE
967,"c(14.54167, 47.575)",TRUE
1081,"c(14.54167, 47.825)",TRUE
990,"c(14.625, 47.675)",TRUE
299,"c(14.625, 47.675)",TRUE
1229,"c(14.59954, 47.82558)",TRUE
199,"c(14.59954, 47.82558)",FALSE
2594,"c(14.68079, 47.58061)",TRUE
2565,"c(14.68324, 47.61025)",TRUE
2595,"c(14.68299, 47.5805)",FALSE
269,"c(14.69745, 47.55202)",TRUE
2588,"c(14.6983, 47.56043)",TRUE
2528,"c(14.69745, 47.55202)",FALSE
2597,"c(14.68936, 47.54907)",TRUE
2578,"c(14.6552, 47.53277)",TRUE
2598,"c(14.64392, 47.5453)",TRUE
2593,"c(14.66586, 47.62045)",TRUE
3512,"c(17.61581, 44.28066)",TRUE
19545,"c(14.65672, 45.41417)",TRUE
19543,"c(14.592681, 45.479401)",FALSE
19541,"c(14.650217, 45.404616)",FALSE
19544,"c(14.592681, 45.479401)",TRUE
19491,"c(14.64782, 45.4436)",FALSE
19542,"c(14.650217, 45.404616)",TRUE
19516,"c(14.979773, 44.793592)",FALSE
19518,"c(14.979773, 44.793592)",TRUE
19509,"c(14.97728, 44.78561)",TRUE
19548,"c(14.944139, 45.221954)",TRUE
19549,"c(14.944139, 45.221954)",TRUE
19520,"c(14.942265, 45.224733)",TRUE
19503,"c(14.97728, 44.78561)",TRUE
19420,"c(14.97287, 45.2221)",TRUE
19505,"c(14.97728, 44.78561)",TRUE
19511,"c(14.97728, 44.78561)",TRUE
19508,"c(14.97728, 44.78561)",TRUE
32915,"c(2.853829, 45.6894)",TRUE
34694,"c(6.987529, 46.3455)",TRUE
25430,"c(6.75303, 46.30915)",TRUE
34659,"c(6.985729, 46.4139)",TRUE
25442,"c(6.74358, 46.19237)",TRUE
31352,"c(6.029029, 45.0126)",TRUE
31331,"c(6.044329, 44.8434)",TRUE
34674,"c(7.153129, 46.4508)",TRUE
34730,"c(7.162129, 46.4904)",TRUE
34668,"c(7.145929, 46.4076)",TRUE
34739,"c(7.149529, 46.3392)",TRUE
27742,"c(5.983129, 46.395)",TRUE
29041,"c(6.641929, 45.4167)",TRUE
34724,"c(7.162129, 46.5147)",TRUE
34740,"c(7.178329, 46.4652)",TRUE
34737,"c(7.183729, 46.4535)",TRUE
25446,"c(6.48689, 46.22911)",TRUE
25447,"c(6.55439, 46.26266)",TRUE
31296,"c(6.006529, 45.0333)",TRUE
34540,"c(6.079429, 46.449)",TRUE
29057,"c(6.730129, 45.3825)",TRUE
34603,"c(7.037029, 46.4283)",TRUE
29037,"c(6.707629, 45.3924)",TRUE
34670,"c(7.079329, 46.2456)",TRUE
34717,"c(7.079329, 46.44)",TRUE
34698,"c(7.100929, 46.2654)",TRUE
34562,"c(7.100929, 46.2816)",TRUE
34666,"c(7.193629, 46.53)",TRUE
35282,"c(11.123743, 47.524122)",TRUE
35347,"c(11.123743, 47.524122)",TRUE
35256,"c(11.123743, 47.524122)",TRUE
35217,"c(11.123743, 47.524122)",TRUE
35245,"c(11.123743, 47.524122)",FALSE
35274,"c(11.123743, 47.524122)",FALSE
35266,"c(11.123743, 47.524122)",FALSE
35267,"c(11.123743, 47.524122)",TRUE
39200,"c(11.102462, 47.416002)",TRUE
39210,"c(11.08141, 47.555853)",FALSE
36020,"c(11.123271, 47.449272)",TRUE
39208,"c(11.121927, 47.587299)",TRUE
35703,"c(11.123748, 47.424134)",FALSE
35216,"c(11.123743, 47.524122)",TRUE
35238,"c(11.123743, 47.524122)",TRUE
35432,"c(11.123743, 47.524122)",TRUE
35326,"c(11.123743, 47.524122)",TRUE
35367,"c(11.123743, 47.524122)",TRUE
35733,"c(11.123743, 47.57412)",FALSE
35272,"c(11.123743, 47.524122)",TRUE
35031,"c(10.87369, 47.43503)",TRUE
35060,"c(10.87369, 47.43503)",FALSE
35089,"c(10.87369, 47.43503)",TRUE
35071,"c(10.87369, 47.43503)",TRUE
35021,"c(10.87369, 47.43503)",TRUE
35019,"c(10.87369, 47.43503)",TRUE
35022,"c(10.87369, 47.43503)",TRUE
35046,"c(10.87369, 47.43503)",TRUE
35054,"c(10.87369, 47.43503)",FALSE
35061,"c(10.87369, 47.43503)",TRUE
35055,"c(10.87369, 47.43503)",TRUE
35050,"c(10.87369, 47.43503)",TRUE
35044,"c(10.87369, 47.43503)",TRUE
35018,"c(10.87369, 47.43503)",FALSE
35029,"c(10.87369, 47.43503)",TRUE
35032,"c(10.87369, 47.43503)",TRUE
35040,"c(10.87369, 47.43503)",TRUE
35039,"c(10.87369, 47.43503)",TRUE
35053,"c(10.87369, 47.43503)",TRUE
35033,"c(10.87369, 47.43503)",FALSE
35016,"c(10.87369, 47.43503)",TRUE
35078,"c(10.87369, 47.43503)",TRUE
35748,"c(11.04042, 47.57412)",TRUE
35792,"c(11.040424, 47.47413)",FALSE
35808,"c(11.040424, 47.47413)",TRUE
35709,"c(11.040424, 47.47413)",FALSE
35833,"c(11.04042, 47.524122)",TRUE
35793,"c(11.040424, 47.47413)",FALSE
35820,"c(11.04042, 47.524122)",TRUE
39206,"c(11.06235, 47.451813)",TRUE
35754,"c(10.957103, 47.47413)",TRUE
35023,"c(10.87369, 47.43503)",TRUE
35059,"c(10.87369, 47.43503)",TRUE
35052,"c(10.87369, 47.43503)",TRUE
35077,"c(10.87369, 47.43503)",TRUE
35020,"c(10.87369, 47.43503)",TRUE
35047,"c(10.87369, 47.43503)",TRUE
35028,"c(10.87369, 47.43503)",TRUE
35516,"c(12.929321, 47.548727)",TRUE
35515,"c(12.929321, 47.548727)",TRUE
35156,"c(12.546862, 47.712536)",TRUE
35165,"c(12.546862, 47.712536)",TRUE
35170,"c(12.546862, 47.712536)",TRUE
35180,"c(12.546862, 47.712536)",TRUE
35201,"c(12.546862, 47.712536)",TRUE
35168,"c(12.546862, 47.712536)",TRUE
35173,"c(12.546862, 47.712536)",TRUE
35174,"c(12.546862, 47.712536)",TRUE
35197,"c(12.546862, 47.712536)",TRUE
35161,"c(12.546862, 47.712536)",TRUE
35162,"c(12.546862, 47.712536)",TRUE
35191,"c(12.546862, 47.712536)",TRUE
35175,"c(12.546862, 47.712536)",TRUE
35189,"c(12.546862, 47.712536)",TRUE
35202,"c(12.546862, 47.712536)",TRUE
35194,"c(12.546862, 47.712536)",TRUE
41996,"c(10.397098, 45.804738)",FALSE
41999,"c(10.341272, 45.953646)",TRUE
42239,"c(12.502592, 46.582643)",FALSE
42237,"c(12.470283, 46.59231)",TRUE
41868,"c(12.484858, 46.623583)",TRUE
42236,"c(12.463472, 46.575911)",TRUE
41835,"c(12.589561, 46.446465)",TRUE
42248,"c(12.57153, 46.571911)",TRUE
42226,"c(12.602581, 46.556672)",FALSE
42214,"c(12.611748, 46.630426)",TRUE
42225,"c(12.599249, 46.5388)",TRUE
42250,"c(12.559063, 46.572544)",TRUE
42139,"c(11.864322, 46.350986)",TRUE
42172,"c(11.487973, 45.829706)",TRUE
42204,"c(11.717997, 46.098645)",TRUE
42170,"c(11.504074, 45.79432)",TRUE
42207,"c(12.293693, 46.396236)",TRUE
42182,"c(12.071693, 46.239785)",TRUE
42231,"c(12.613043, 46.639718)",TRUE
41847,"c(13.503822, 46.541235)",TRUE
41844,"c(12.831949, 46.583402)",FALSE
41840,"c(13.249682, 46.286526)",TRUE
41837,"c(13.221384, 46.493488)",TRUE
41860,"c(13.270711, 46.551966)",TRUE
41857,"c(13.28495, 46.544451)",TRUE
41879,"c(13.268098, 46.504546)",TRUE
41859,"c(13.266891, 46.550927)",TRUE
41852,"c(13.039352, 46.482494)",TRUE
41834,"c(13.435076, 46.407315)",TRUE
41862,"c(13.184326, 46.305211)",TRUE
42222,"c(12.660791, 46.631565)",FALSE
41855,"c(12.753696, 46.420681)",TRUE
41845,"c(12.764375, 46.616854)",TRUE
41870,"c(12.801215, 46.555362)",TRUE
41833,"c(13.540538, 46.401891)",TRUE
41832,"c(13.534311, 46.399163)",FALSE
41881,"c(13.550377, 46.410068)",TRUE
41854,"c(12.745, 46.560852)",TRUE
42312,"c(12.746019, 46.417919)",TRUE
41858,"c(12.748532, 46.423114)",TRUE
41869,"c(12.739631, 46.558177)",TRUE
60096,"c(20.219908, 49.574991)",TRUE
57557,"c(19.533992, 49.538104)",TRUE
57612,"c(19.528713, 49.593466)",TRUE
57551,"c(19.566135, 49.542699)",TRUE
57550,"c(19.566135, 49.542699)",FALSE
57533,"c(19.502449, 49.61477)",TRUE
72133,"c(19.844722, 49.260833)",TRUE
72128,"c(19.785833, 49.226111)",TRUE
61690,"c(19.967179, 49.274581)",TRUE
65425,"c(19.94917, 49.25861)",TRUE
64338,"c(19.957642, 49.276568)",TRUE
64340,"c(19.952012, 49.258724)",TRUE
64341,"c(19.952608, 49.259161)",FALSE
55976,"c(19.94246, 49.264486)",TRUE
65423,"c(19.87222, 49.23882)",TRUE
72132,"c(19.857778, 49.233333)",FALSE
64353,"c(19.866083, 49.25035)",TRUE
72131,"c(19.858056, 49.233611)",TRUE
72135,"c(19.859722, 49.2325)",TRUE
72139,"c(19.91, 49.25)",TRUE
72138,"c(19.909444, 49.25)",TRUE
65424,"c(19.93712, 49.25935)",TRUE
72140,"c(19.920833, 49.253333)",TRUE
72142,"c(19.936944, 49.256667)",FALSE
72148,"c(19.896944, 49.249167)",TRUE
61689,"c(19.88873, 49.266432)",TRUE
61688,"c(19.88873, 49.266432)",TRUE
66318,"c(25.632019, 47.443236)",TRUE
66316,"c(25.631443, 47.44215)",TRUE
66315,"c(25.63487, 47.438571)",TRUE
66311,"c(25.635877, 47.439389)",TRUE
66317,"c(25.629269, 47.441721)",TRUE
66177,"c(25.59342, 46.54845)",TRUE
66169,"c(25.59149, 46.44725)",TRUE
66179,"c(25.59702, 46.44404)",TRUE
65937,"c(25.53081, 47.39658)",TRUE
66232,"c(25.26521, 47.15025)",FALSE
66176,"c(25.57914, 46.50386)",FALSE
66148,"c(25.58503, 45.56391)",TRUE
66178,"c(25.5865, 46.44699)",FALSE
66118,"c(25.97169, 46.98518)",TRUE
66115,"c(25.94927, 46.97955)",TRUE
65875,"c(25.79645, 46.80274)",TRUE
66122,"c(25.90793, 46.95604)",TRUE
65914,"c(25.81413, 46.78226)",FALSE
65671,"c(24.62895, 47.61141)",FALSE
65463,"c(24.601, 47.603)",FALSE
66274,"c(25.23021, 46.77821)",TRUE
66276,"c(25.25687, 46.81201)",TRUE
66227,"c(25.24647, 47.17435)",FALSE
66230,"c(25.23056, 47.18197)",FALSE
66226,"c(25.24624, 47.17316)",TRUE
65962,"c(25.15782, 46.86738)",TRUE
65692,"c(22.71375, 46.63507)",TRUE
65578,"c(22.79672, 45.30494)",TRUE
65788,"c(22.81221, 45.39182)",TRUE
65576,"c(22.72606, 45.30967)",TRUE
72073,"c(20.3, 48.865278)",TRUE
72566,"c(19.938889, 49.153611)",TRUE
73136,"c(19.977778, 48.955556)",FALSE
71529,"c(20.293056, 49.222778)",TRUE
70968,"c(19.963889, 49.141667)",TRUE
72388,"c(19.955189, 48.780778)",TRUE
72886,"c(20.294764, 49.230581)",TRUE
73127,"c(19.969444, 48.943056)",TRUE
70975,"c(19.969722, 48.782222)",TRUE
73135,"c(19.973611, 48.952778)",TRUE
70432,"c(20.293333, 49.178889)",TRUE
72387,"c(19.96535, 48.782581)",TRUE
72389,"c(19.968469, 48.714478)",TRUE
73129,"c(19.966667, 48.940278)",TRUE
71368,"c(19.885, 48.782222)",TRUE
73185,"c(19.876389, 48.948611)",TRUE
73166,"c(19.876389, 48.9875)",TRUE
71861,"c(19.893056, 48.786944)",FALSE
73194,"c(19.872222, 49.011111)",TRUE
73306,"c(20.313889, 49.205556)",TRUE
73314,"c(20.313889, 49.205556)",TRUE
73183,"c(19.870833, 48.952778)",FALSE
73205,"c(19.869444, 48.951389)",FALSE
72071,"c(20.306944, 48.8875)",TRUE
72565,"c(19.931944, 49.153333)",TRUE
73203,"c(19.906944, 48.947222)",TRUE
73201,"c(19.906944, 48.947222)",TRUE
71605,"c(19.900833, 49.091667)",FALSE
71602,"c(19.900833, 49.091667)",TRUE
71604,"c(19.900833, 49.091667)",TRUE
71606,"c(19.900833, 49.091667)",TRUE
71007,"c(19.904167, 49)",FALSE
71010,"c(19.904167, 49)",FALSE
71008,"c(19.904167, 49)",FALSE
71016,"c(19.904167, 49)",TRUE
72863,"c(20.307533, 49.247106)",TRUE
72869,"c(20.309344, 49.243206)",TRUE
72252,"c(20.166111, 49.232222)",TRUE
72817,"c(20.165947, 49.250656)",TRUE
72805,"c(20.165856, 49.241139)",TRUE
72898,"c(20.212008, 49.263444)",TRUE
72831,"c(20.166511, 49.242578)",TRUE
72809,"c(20.166353, 49.265594)",TRUE
71520,"c(20.206667, 49.254444)",TRUE
72822,"c(20.209272, 49.236464)",TRUE
72823,"c(20.207661, 49.236778)",TRUE
72815,"c(20.156539, 49.252869)",TRUE
71206,"c(20.138889, 48.819444)",TRUE
72789,"c(20.245008, 49.217814)",TRUE
72832,"c(20.153256, 49.25415)",TRUE
72251,"c(20.163333, 49.228889)",TRUE
72825,"c(20.16055, 49.245589)",TRUE
72256,"c(20.159722, 49.221111)",TRUE
72902,"c(20.191667, 49.233333)",FALSE
72900,"c(20.191667, 49.233333)",FALSE
72812,"c(20.19245, 49.238533)",TRUE
72799,"c(20.185961, 49.263492)",TRUE
71528,"c(20.186667, 49.240556)",TRUE
72811,"c(20.19685, 49.238331)",TRUE
72907,"c(20.2, 49.258333)",TRUE
72905,"c(20.2, 49.258333)",FALSE
72813,"c(20.172136, 49.266811)",TRUE
71652,"c(20.173056, 48.9175)",TRUE
72806,"c(20.171189, 49.263103)",TRUE
71531,"c(20.166944, 49.239722)",TRUE
72808,"c(20.173569, 49.260703)",TRUE
72841,"c(20.180164, 49.272544)",TRUE
72826,"c(20.177411, 49.235906)",TRUE
73143,"c(20.041667, 48.927778)",TRUE
73142,"c(20.044444, 48.929167)",FALSE
71973,"c(20.281667, 49.219722)",TRUE
72873,"c(20.283203, 49.240425)",TRUE
72894,"c(20.225947, 49.257303)",TRUE
72847,"c(20.223933, 49.259475)",TRUE
72897,"c(20.225169, 49.265822)",TRUE
72052,"c(20.281111, 49.223889)",TRUE
73141,"c(20.054167, 48.931944)",FALSE
72851,"c(20.223356, 49.265778)",TRUE
73140,"c(20.058333, 48.930556)",TRUE
72927,"c(19.999167, 49.189444)",TRUE
70897,"c(20.238889, 49.338889)",TRUE
72846,"c(20.238744, 49.263367)",TRUE
73137,"c(20.011111, 48.954167)",TRUE
72850,"c(20.232119, 49.263328)",TRUE
72895,"c(20.230903, 49.245997)",TRUE
72885,"c(20.288222, 49.228414)",TRUE
72892,"c(20.257617, 49.220528)",TRUE
70969,"c(20.264167, 49.219167)",FALSE
71001,"c(20.264167, 49.218611)",FALSE
72854,"c(20.213486, 49.257178)",TRUE
72893,"c(20.268669, 49.212578)",TRUE
71499,"c(20.268056, 49.212222)",TRUE
72881,"c(20.266767, 49.238386)",TRUE
72795,"c(20.259517, 49.224908)",TRUE
72791,"c(20.262114, 49.208739)",TRUE
72901,"c(20.216667, 49.216667)",FALSE
71970,"c(20.276944, 49.223889)",TRUE
72882,"c(20.27525, 49.240189)",TRUE
71985,"c(20.218611, 49.166667)",TRUE
71946,"c(20.274167, 49.226111)",TRUE
72880,"c(20.274219, 49.239192)",TRUE
71950,"c(20.275, 49.222778)",TRUE
72072,"c(20.275, 48.876389)",FALSE
71949,"c(20.275, 49.224167)",TRUE
71952,"c(20.274444, 49.223333)",FALSE
71956,"c(20.275, 49.223889)",TRUE
72862,"c(20.274811, 49.262019)",TRUE
73053,"c(19.219758, 49.033883)",TRUE
71656,"c(19.21, 48.99)",FALSE
71779,"c(19.199722, 49.056111)",TRUE
71780,"c(19.198056, 49.066111)",TRUE
73020,"c(19.19765, 48.990417)",TRUE
73039,"c(19.148017, 48.9359)",TRUE
73038,"c(19.14695, 48.934317)",FALSE
73035,"c(19.142767, 48.932633)",TRUE
72335,"c(19.140833, 48.934444)",TRUE
73031,"c(19.14105, 48.933817)",TRUE
71645,"c(19.193056, 48.983611)",FALSE
71646,"c(19.192222, 48.983611)",FALSE
71644,"c(19.191389, 48.983333)",TRUE
70663,"c(19.475, 48.683333)",TRUE
72439,"c(19.47645, 48.634183)",TRUE
72848,"c(20.242197, 49.258797)",TRUE
70974,"c(19.341389, 49.147222)",TRUE
72991,"c(19.024633, 48.88885)",TRUE
72350,"c(19.027778, 49.246667)",TRUE
72354,"c(19.0625, 49.246667)",TRUE
73048,"c(18.982367, 48.931217)",TRUE
73049,"c(18.976333, 48.93325)",TRUE
73003,"c(18.999, 48.89345)",TRUE
71661,"c(18.958611, 49.1725)",FALSE
71663,"c(18.957778, 49.1725)",TRUE
71660,"c(18.957778, 49.172222)",FALSE
71662,"c(18.959444, 49.172778)",FALSE
72498,"c(18.9498, 48.773633)",TRUE
72334,"c(18.955556, 49.172222)",TRUE
70639,"c(18.954167, 48.838889)",TRUE
72329,"c(19.011667, 49.181667)",TRUE
72322,"c(19.013333, 48.895)",TRUE
72344,"c(19.020833, 49.234722)",TRUE
72321,"c(19.021389, 48.887778)",TRUE
72324,"c(19.020833, 48.887222)",TRUE
72333,"c(19.010833, 49.196667)",TRUE
71002,"c(19.009722, 48.913889)",TRUE
71590,"c(19.104722, 49.234167)",TRUE
72239,"c(19.108889, 49.05)",TRUE
73032,"c(19.14055, 48.933217)",TRUE
73030,"c(19.14065, 48.934333)",TRUE
71598,"c(19.101111, 49.236667)",FALSE
72351,"c(19.075556, 49.245833)",TRUE
73072,"c(19.07115, 48.918717)",TRUE
72992,"c(19.093117, 48.9083)",TRUE
72993,"c(19.094833, 48.908867)",FALSE
72994,"c(19.091817, 48.907233)",TRUE
71648,"c(19.708889, 48.995)",TRUE
71712,"c(19.727778, 49.275)",TRUE
70849,"c(19.733333, 49.266667)",TRUE
71653,"c(19.687222, 49.024444)",TRUE
71651,"c(19.702222, 48.984722)",TRUE
71599,"c(19.706667, 48.991667)",FALSE
71589,"c(19.7075, 48.976944)",TRUE
70674,"c(19.697222, 49.179167)",TRUE
71710,"c(19.6975, 49.263611)",TRUE
72208,"c(19.794444, 49.155)",TRUE
73175,"c(19.838889, 48.975)",TRUE
73174,"c(19.8375, 48.976389)",FALSE
71122,"c(19.838333, 48.792222)",FALSE
71595,"c(19.790278, 49.255833)",FALSE
71724,"c(19.756389, 49.263611)",TRUE
71465,"c(19.740833, 49.265833)",TRUE
71593,"c(19.788333, 49.253333)",TRUE
71649,"c(19.771667, 49.25)",TRUE
71594,"c(19.776944, 49.244722)",FALSE
71588,"c(19.777222, 49.245)",TRUE
71596,"c(19.774722, 49.246111)",FALSE
71667,"c(19.563611, 49.0025)",TRUE
71600,"c(19.558611, 49.001111)",TRUE
71591,"c(19.559722, 49.001389)",FALSE
71592,"c(19.555556, 48.998333)",FALSE
72083,"c(20.375, 48.905556)",TRUE
72094,"c(20.370833, 48.9125)",TRUE
72980,"c(19.56665, 48.996933)",TRUE
72098,"c(20.409722, 48.894444)",TRUE
70692,"c(19.552778, 49.188889)",TRUE
73280,"c(20.506167, 49.397278)",TRUE
71064,"c(20.536111, 48.875)",TRUE
73249,"c(20.447389, 49.388417)",TRUE
71665,"c(19.6325, 49.016389)",FALSE
71657,"c(19.631944, 49.019167)",TRUE
71664,"c(19.631944, 49.019167)",TRUE
71647,"c(19.631944, 49.019167)",TRUE
71668,"c(19.623056, 48.994167)",TRUE
71469,"c(19.62, 49.213889)",TRUE
73087,"c(19.627133, 49.213033)",TRUE
70683,"c(19.6375, 49.213889)",TRUE
71207,"c(19.638889, 48.513889)",TRUE
